id;operator;vehicle;arrival;departure;distance;total distance;latitude(deg);longitude(deg);maps url;passenger exchange time;total in;total out;system errors;in1(D1L);out1(D1L);status1(D1L);in10(D8L);out10(D8L);status10(D8L);in11(D7L);out11(D7L);status11(D7L);in12(D7P);out12(D7P);status12(D7P);in13(D3L);out13(D3L);status13(D3L);in14(D3P);out14(D3P);status14(D3P);in15(D4P);out15(D4P);status15(D4P);in16(D4L);out16(D4L);status16(D4L);in17(D5L);out17(D5L);status17(D5L);in18(D5P);out18(D5P);status18(D5P);in19(D6P);out19(D6P);status19(D6P);in2(D1P);out2(D1P);status2(D1P);in20(D6L);out20(D6L);status20(D6L);in3(D2P);out3(D2P);status3(D2P);in4(D2L);out4(D2L);status4(D2L);in5(D10P);out5(D10P);status5(D10P);in6(D10L);out6(D10L);status6(D10L);in7(D9L);out7(D9L);status7(D9L);in8(D9P);out8(D9P);status8(D9P);in9(D8P);out9(D8P);status9(D8P)
1;KML4423;36;2025-03-15 03:16:49;n.a.;-200;200;0;0;n/a;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;KML4423;36;2025-03-15 03:10:19;2025-03-15 03:19:51;4368;0;0;0;n/a;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;KML4423;36;2025-03-15 03:29:20;2025-03-15 03:30:10;7274;4368;52.25193;21.0517;http://maps.google.com/maps?q=52.25193%2C21.0517;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;KML4423;36;2025-03-15 03:37:30;2025-03-15 04:00:31;2709;11642;52.2206;20.9658883333333;http://maps.google.com/maps?q=52.2206%2C20.9658883333333;32;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
5;KML4423;36;2025-03-15 04:03:58;2025-03-15 04:05:42;4557;14351;0;0;n/a;69;13;1;1;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0
6;KML4423;36;2025-03-15 04:15:06;2025-03-15 04:15:48;2436;18908;52.25144;21.05212;http://maps.google.com/maps?q=52.25144%2C21.05212;6;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
7;KML4423;36;2025-03-15 04:18:27;2025-03-15 04:19:11;17771;21344;52.26433;21.05156;http://maps.google.com/maps?q=52.26433%2C21.05156;15;4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
8;KML4423;36;2025-03-15 04:28:00;2025-03-15 04:31:29;15390;39115;52.4019583333333;20.9409;http://maps.google.com/maps?q=52.4019583333333%2C20.9409;180;4;15;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;7;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
9;KML4423;36;2025-03-15 04:38:28;2025-03-15 04:41:52;3663;54505;52.42534;20.72354;http://maps.google.com/maps?q=52.42534%2C20.72354;173;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
10;KML4423;36;2025-03-15 04:44:50;2025-03-15 05:14:59;3721;58168;52.44369;20.7041;http://maps.google.com/maps?q=52.44369%2C20.7041;1771;33;3;0;6;1;0;5;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0
11;KML4423;36;2025-03-15 05:18:13;2025-03-15 05:18:58;11067;61889;52.4252583333333;20.72422;http://maps.google.com/maps?q=52.4252583333333%2C20.72422;15;32;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;6;0;0;0;0;0;0;0;0;2;1;0;2;0;0;4;1;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0
